layer,matrix_type,cond_a,seed_a,cond_b,seed_b,n_experts_common,n_excluded_a,n_excluded_b,mean_angle_deg_k16,mean_angle_deg_k32,mean_angle_deg_k64,max_angle_deg_k16,max_angle_deg_k32,max_angle_deg_k64,proj_dist_k16,proj_dist_k32,proj_dist_k64,whitening_reldist_k16,whitening_reldist_k32,whitening_reldist_k64,cov_reldist_k16,cov_reldist_k32,cov_reldist_k64
3,up_proj,swahili_only,1,swahili_only,2,64,0,0,20.816511154174805,24.649341583251953,31.06294822692871,72.79593658447266,81.06498718261719,88.71712493896484,1.623075008392334,2.595345973968506,4.391721248626709,0.7023161053657532,0.7863415479660034,0.9502850770950317,0.21647414565086365,0.21894411742687225,0.22310930490493774
3,up_proj,swahili_only,1,bengali_only,0,64,0,0,81.65406799316406,80.24982452392578,77.75163269042969,89.71260833740234,89.79165649414062,89.87335968017578,3.9134347438812256,5.513399124145508,7.716663360595703,1.4727106094360352,1.4683082103729248,1.4724438190460205,1.5900143384933472,1.5886735916137695,1.5876342058181763
3,up_proj,swahili_only,1,bengali_only,1,64,0,0,81.65030670166016,80.24931335449219,77.72404479980469,89.72637939453125,89.81050109863281,89.89593505859375,3.9126648902893066,5.5125732421875,7.7151031494140625,1.471969485282898,1.467139720916748,1.4710657596588135,1.590054988861084,1.5886887311935425,1.587639570236206
3,up_proj,swahili_only,1,bengali_only,2,64,0,0,81.5848388671875,80.20677185058594,77.71683502197266,89.70695495605469,89.80654907226562,89.8828125,3.9112067222595215,5.511895179748535,7.715444087982178,1.472822904586792,1.4691437482833862,1.471791386604309,1.590064525604248,1.5887463092803955,1.5877223014831543
3,up_proj,swahili_only,1,mixed_5lang,0,64,0,0,75.25175476074219,73.36154174804688,70.35037231445312,89.60493469238281,89.70609283447266,89.84297180175781,3.7485880851745605,5.259552955627441,7.309344291687012,1.4127764701843262,1.4034827947616577,1.3929235935211182,1.4539183378219604,1.4489562511444092,1.4450390338897705
3,up_proj,swahili_only,1,mixed_5lang,1,64,0,0,77.1231918334961,75.24107360839844,72.06379699707031,89.61013793945312,89.75955200195312,89.83323669433594,3.8019442558288574,5.337069988250732,7.4140825271606445,1.4265457391738892,1.4190466403961182,1.4076347351074219,1.4770656824111938,1.4721448421478271,1.4684492349624634
3,up_proj,swahili_only,1,mixed_5lang,2,64,0,0,75.87977600097656,74.07999420166016,71.00433349609375,89.63206481933594,89.74988555908203,89.82058715820312,3.766632080078125,5.290852069854736,7.351073265075684,1.4179831743240356,1.4107050895690918,1.399352788925171,1.4577794075012207,1.4522013664245605,1.4481444358825684
3,up_proj,swahili_only,2,bengali_only,0,64,0,0,81.66816711425781,80.26876831054688,77.80314636230469,89.71648406982422,89.82210540771484,89.86105346679688,3.913712978363037,5.514060020446777,7.719880104064941,1.470294713973999,1.466152548789978,1.4712716341018677,1.5880569219589233,1.5866739749908447,1.5856155157089233
3,up_proj,swahili_only,2,bengali_only,1,64,0,0,81.73515319824219,80.29596710205078,77.82500457763672,89.7400131225586,89.8214111328125,89.8839111328125,3.915095806121826,5.514365196228027,7.720831394195557,1.4697237014770508,1.4651919603347778,1.4703686237335205,1.5881233215332031,1.5867007970809937,1.5856353044509888
3,up_proj,swahili_only,2,bengali_only,2,64,0,0,81.65910339355469,80.23147583007812,77.80242919921875,89.70626068115234,89.81733703613281,89.88558197021484,3.91313099861145,5.512738227844238,7.719945907592773,1.4705766439437866,1.4670034646987915,1.4708725214004517,1.588110089302063,1.5867440700531006,1.5857008695602417
